"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","eBay UI Automation","0","Search","1","0","Advanced search","0"
"0","eBay UI Automation","0","Cart","1","0","Add items","0"
"0","eBay UI Automation","0","Authentication","1","0","Login","0"
